source_table,hadron,target,ref_target,Q2_min,Q2_max,nu_min,nu_max,z_min,z_max,pT2_min,pT2_max,value,stat,syst,flag
II,pi+,C,D,1.0,4.0,2.2,4.25,0.05,0.1,0.0,1.5,1.144,0.003,0.043,
II,pi+,Fe,D,1.0,4.0,2.2,4.25,0.05,0.1,0.0,1.5,1.168,0.003,0.053,
II,pi+,Pb,D,1.0,4.0,2.2,4.25,0.05,0.1,0.0,1.5,0.959,0.003,0.043,
II,pi+,C,D,1.0,4.0,2.2,4.25,0.1,0.2,0.0,1.5,0.992,0.002,0.038,
II,pi+,Fe,D,1.0,4.0,2.2,4.25,0.1,0.2,0.0,1.5,0.914,0.001,0.041,
II,pi+,Pb,D,1.0,4.0,2.2,4.25,0.1,0.2,0.0,1.5,0.72,0.001,0.032,
II,pi+,C,D,1.0,4.0,2.2,4.25,0.2,0.3,0.0,1.5,0.902,0.002,0.034,
II,pi+,Fe,D,1.0,4.0,2.2,4.25,0.2,0.3,0.0,1.5,0.759,0.001,0.034,
II,pi+,Pb,D,1.0,4.0,2.2,4.25,0.2,0.3,0.0,1.5,0.576,0.001,0.026,
II,pi+,C,D,1.0,4.0,2.2,4.25,0.3,0.4,0.0,1.5,0.853,0.002,0.032,
II,pi+,Fe,D,1.0,4.0,2.2,4.25,0.3,0.4,0.0,1.5,0.684,0.002,0.031,
II,pi+,Pb,D,1.0,4.0,2.2,4.25,0.3,0.4,0.0,1.5,0.503,0.002,0.023,
II,pi+,C,D,1.0,4.0,2.2,4.25,0.4,0.5,0.0,1.5,0.838,0.003,0.032,
II,pi+,Fe,D,1.0,4.0,2.2,4.25,0.4,0.5,0.0,1.5,0.642,0.002,0.029,
II,pi+,Pb,D,1.0,4.0,2.2,4.25,0.4,0.5,0.0,1.5,0.464,0.002,0.021,
II,pi+,C,D,1.0,4.0,2.2,4.25,0.5,0.6,0.0,1.5,0.828,0.004,0.031,
II,pi+,Fe,D,1.0,4.0,2.2,4.25,0.5,0.6,0.0,1.5,0.626,0.002,0.028,
II,pi+,Pb,D,1.0,4.0,2.2,4.25,0.5,0.6,0.0,1.5,0.449,0.002,0.02,
II,pi+,C,D,1.0,4.0,2.2,4.25,0.6,0.7,0.0,1.5,0.811,0.004,0.039,
II,pi+,Fe,D,1.0,4.0,2.2,4.25,0.6,0.7,0.0,1.5,0.599,0.003,0.032,
II,pi+,Pb,D,1.0,4.0,2.2,4.25,0.6,0.7,0.0,1.5,0.431,0.003,0.023,
II,pi+,C,D,1.0,4.0,2.2,4.25,0.7,0.8,0.0,1.5,0.747,0.005,0.036,
II,pi+,Fe,D,1.0,4.0,2.2,4.25,0.7,0.8,0.0,1.5,0.541,0.003,0.029,
II,pi+,Pb,D,1.0,4.0,2.2,4.25,0.7,0.8,0.0,1.5,0.386,0.003,0.02,
II,pi+,C,D,1.0,4.0,2.2,4.25,0.8,0.9,0.0,1.5,0.764,0.007,0.037,
II,pi+,Fe,D,1.0,4.0,2.2,4.25,0.8,0.9,0.0,1.5,0.527,0.004,0.028,
II,pi+,Pb,D,1.0,4.0,2.2,4.25,0.8,0.9,0.0,1.5,0.374,0.004,0.02,
II,pi+,C,D,1.0,4.0,2.2,4.25,0.9,1.0,0.0,1.5,0.675,0.008,0.032,
II,pi+,Fe,D,1.0,4.0,2.2,4.25,0.9,1.0,0.0,1.5,0.431,0.004,0.023,
II,pi+,Pb,D,1.0,4.0,2.2,4.25,0.9,1.0,0.0,1.5,0.27,0.004,0.014,
II,pi-,C,D,1.0,4.0,2.2,4.25,0.05,0.1,0.0,1.5,1.142,0.005,0.043,
II,pi-,Fe,D,1.0,4.0,2.2,4.25,0.05,0.1,0.0,1.5,1.189,0.005,0.054,
II,pi-,Pb,D,1.0,4.0,2.2,4.25,0.05,0.1,0.0,1.5,1.075,0.005,0.048,
II,pi-,C,D,1.0,4.0,2.2,4.25,0.1,0.2,0.0,1.5,0.992,0.003,0.038,
II,pi-,Fe,D,1.0,4.0,2.2,4.25,0.1,0.2,0.0,1.5,0.95,0.002,0.043,
II,pi-,Pb,D,1.0,4.0,2.2,4.25,0.1,0.2,0.0,1.5,0.827,0.002,0.037,
II,pi-,C,D,1.0,4.0,2.2,4.25,0.2,0.3,0.0,1.5,0.904,0.003,0.034,
II,pi-,Fe,D,1.0,4.0,2.2,4.25,0.2,0.3,0.0,1.5,0.802,0.003,0.036,
II,pi-,Pb,D,1.0,4.0,2.2,4.25,0.2,0.3,0.0,1.5,0.669,0.002,0.03,
II,pi-,C,D,1.0,4.0,2.2,4.25,0.3,0.4,0.0,1.5,0.859,0.004,0.033,
II,pi-,Fe,D,1.0,4.0,2.2,4.25,0.3,0.4,0.0,1.5,0.717,0.003,0.032,
II,pi-,Pb,D,1.0,4.0,2.2,4.25,0.3,0.4,0.0,1.5,0.572,0.003,0.026,
II,pi-,C,D,1.0,4.0,2.2,4.25,0.4,0.5,0.0,1.5,0.815,0.007,0.031,
II,pi-,Fe,D,1.0,4.0,2.2,4.25,0.4,0.5,0.0,1.5,0.656,0.005,0.03,
II,pi-,Pb,D,1.0,4.0,2.2,4.25,0.4,0.5,0.0,1.5,0.511,0.005,0.023,
II,pi-,C,D,1.0,4.0,2.2,4.25,0.5,0.6,0.0,1.5,0.797,0.01,0.03,
II,pi-,Fe,D,1.0,4.0,2.2,4.25,0.5,0.6,0.0,1.5,0.615,0.007,0.028,
II,pi-,Pb,D,1.0,4.0,2.2,4.25,0.5,0.6,0.0,1.5,0.481,0.007,0.022,
II,pi-,C,D,1.0,4.0,2.2,4.25,0.6,0.7,0.0,1.5,0.766,0.014,0.032,
II,pi-,Fe,D,1.0,4.0,2.2,4.25,0.6,0.7,0.0,1.5,0.593,0.01,0.028,
II,pi-,Pb,D,1.0,4.0,2.2,4.25,0.6,0.7,0.0,1.5,0.47,0.01,0.023,
II,pi-,C,D,1.0,4.0,2.2,4.25,0.7,0.8,0.0,1.5,0.761,0.02,0.032,
II,pi-,Fe,D,1.0,4.0,2.2,4.25,0.7,0.8,0.0,1.5,0.602,0.015,0.029,
II,pi-,Pb,D,1.0,4.0,2.2,4.25,0.7,0.8,0.0,1.5,0.444,0.015,0.021,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.05,0.1,0.0,1.5,1.18,0.013,0.026,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.05,0.1,0.0,1.5,1.179,0.012,0.041,
III,pi+,Pb,D,1.0,1.3,2.2,3.2,0.05,0.1,0.0,1.5,0.973,0.006,0.035,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.1,0.2,0.0,1.5,0.988,0.004,0.022,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.1,0.2,0.0,1.5,0.9,0.003,0.031,
III,pi+,Pb,D,1.0,1.3,2.2,3.2,0.1,0.2,0.0,1.5,0.683,0.001,0.025,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.2,0.3,0.0,1.5,0.885,0.004,0.02,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.2,0.3,0.0,1.5,0.745,0.003,0.026,
III,pi+,Pb,D,1.0,1.3,2.2,3.2,0.2,0.3,0.0,1.5,0.559,0.001,0.02,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.3,0.4,0.0,1.5,0.842,0.005,0.019,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.3,0.4,0.0,1.5,0.671,0.004,0.023,
III,pi+,Pb,D,1.0,1.3,2.2,3.2,0.3,0.4,0.0,1.5,0.479,0.002,0.017,
III,pi+,C,D,1.0,1.3,2.2,3.2,0.4,0.5,0.0,1.5,0.821,0.006,0.018,
III,pi+,Fe,D,1.0,1.3,2.2,3.2,0.4,0.5,0.0,1.5,0.627,0.005,0.022,
