source_table,observable,target,ref_target,slice_var,slice_min,slice_max,dphi_bin,dphi_min,dphi_max,value,stat,syst,flag
III,C_dphi,D,,integrated,,,0.0,0.0,0.39,0.029,0.001,0.004,
III,C_dphi,C,,integrated,,,0.0,0.0,0.39,0.038,0.002,0.006,
III,C_dphi,Fe,,integrated,,,0.0,0.0,0.39,0.039,0.002,0.007,
III,C_dphi,Pb,,integrated,,,0.0,0.0,0.39,0.039,0.003,0.008,
III,C_dphi,D,,integrated,,,1.0,0.39,0.79,0.036,0.001,0.004,
III,C_dphi,C,,integrated,,,1.0,0.39,0.79,0.045,0.002,0.005,
III,C_dphi,Fe,,integrated,,,1.0,0.39,0.79,0.043,0.002,0.005,
III,C_dphi,Pb,,integrated,,,1.0,0.39,0.79,0.039,0.003,0.005,
III,C_dphi,D,,integrated,,,2.0,0.79,1.18,0.053,0.002,0.004,
III,C_dphi,C,,integrated,,,2.0,0.79,1.18,0.066,0.003,0.006,
III,C_dphi,Fe,,integrated,,,2.0,0.79,1.18,0.056,0.002,0.005,
III,C_dphi,Pb,,integrated,,,2.0,0.79,1.18,0.063,0.004,0.005,
III,C_dphi,D,,integrated,,,3.0,1.18,1.57,0.085,0.002,0.006,
III,C_dphi,C,,integrated,,,3.0,1.18,1.57,0.096,0.003,0.007,
III,C_dphi,Fe,,integrated,,,3.0,1.18,1.57,0.081,0.003,0.006,
III,C_dphi,Pb,,integrated,,,3.0,1.18,1.57,0.085,0.005,0.006,
III,C_dphi,D,,integrated,,,4.0,1.57,1.96,0.152,0.003,0.01,
III,C_dphi,C,,integrated,,,4.0,1.57,1.96,0.146,0.004,0.01,
III,C_dphi,Fe,,integrated,,,4.0,1.57,1.96,0.122,0.003,0.008,
III,C_dphi,Pb,,integrated,,,4.0,1.57,1.96,0.132,0.006,0.009,
III,C_dphi,D,,integrated,,,5.0,1.96,2.36,0.233,0.003,0.015,
III,C_dphi,C,,integrated,,,5.0,1.96,2.36,0.205,0.004,0.013,
III,C_dphi,Fe,,integrated,,,5.0,1.96,2.36,0.164,0.003,0.01,
III,C_dphi,Pb,,integrated,,,5.0,1.96,2.36,0.158,0.006,0.01,
III,C_dphi,D,,integrated,,,6.0,2.36,2.75,0.344,0.004,0.022,
III,C_dphi,C,,integrated,,,6.0,2.36,2.75,0.281,0.005,0.018,
III,C_dphi,Fe,,integrated,,,6.0,2.36,2.75,0.223,0.004,0.015,
III,C_dphi,Pb,,integrated,,,6.0,2.36,2.75,0.207,0.007,0.014,
III,C_dphi,D,,integrated,,,7.0,2.75,3.14,0.394,0.004,0.03,
III,C_dphi,C,,integrated,,,7.0,2.75,3.14,0.302,0.005,0.024,
III,C_dphi,Fe,,integrated,,,7.0,2.75,3.14,0.245,0.004,0.02,
III,C_dphi,Pb,,integrated,,,7.0,2.75,3.14,0.227,0.007,0.019,
IV,C_dphi,D,,dY,-0.5,0.5,0.0,0.0,0.39,0.009,0.002,0.001,
IV,C_dphi,C,,dY,-0.5,0.5,0.0,0.0,0.39,0.014,0.004,0.003,
IV,C_dphi,Fe,,dY,-0.5,0.5,0.0,0.0,0.39,0.024,0.004,0.005,
IV,C_dphi,Pb,,dY,-0.5,0.5,0.0,0.0,0.39,0.01,0.005,0.002,
IV,C_dphi,D,,dY,-0.5,0.5,1.0,0.39,0.79,0.009,0.002,0.001,
IV,C_dphi,C,,dY,-0.5,0.5,1.0,0.39,0.79,0.024,0.005,0.003,
IV,C_dphi,Fe,,dY,-0.5,0.5,1.0,0.39,0.79,0.026,0.004,0.004,
IV,C_dphi,Pb,,dY,-0.5,0.5,1.0,0.39,0.79,0.026,0.008,0.004,
IV,C_dphi,D,,dY,-0.5,0.5,2.0,0.79,1.18,0.018,0.003,0.002,
IV,C_dphi,C,,dY,-0.5,0.5,2.0,0.79,1.18,0.034,0.006,0.004,
IV,C_dphi,Fe,,dY,-0.5,0.5,2.0,0.79,1.18,0.029,0.005,0.003,
IV,C_dphi,Pb,,dY,-0.5,0.5,2.0,0.79,1.18,0.056,0.011,0.007,
IV,C_dphi,D,,dY,-0.5,0.5,3.0,1.18,1.57,0.066,0.005,0.005,
IV,C_dphi,C,,dY,-0.5,0.5,3.0,1.18,1.57,0.079,0.009,0.006,
IV,C_dphi,Fe,,dY,-0.5,0.5,3.0,1.18,1.57,0.082,0.008,0.006,
IV,C_dphi,Pb,,dY,-0.5,0.5,3.0,1.18,1.57,0.091,0.014,0.007,
IV,C_dphi,D,,dY,-0.5,0.5,4.0,1.57,1.96,0.118,0.007,0.011,
IV,C_dphi,C,,dY,-0.5,0.5,4.0,1.57,1.96,0.148,0.011,0.013,
IV,C_dphi,Fe,,dY,-0.5,0.5,4.0,1.57,1.96,0.118,0.009,0.011,
IV,C_dphi,Pb,,dY,-0.5,0.5,4.0,1.57,1.96,0.125,0.016,0.011,
IV,C_dphi,D,,dY,-0.5,0.5,5.0,1.96,2.36,0.247,0.01,0.016,
IV,C_dphi,C,,dY,-0.5,0.5,5.0,1.96,2.36,0.231,0.013,0.015,
IV,C_dphi,Fe,,dY,-0.5,0.5,5.0,1.96,2.36,0.199,0.011,0.013,
IV,C_dphi,Pb,,dY,-0.5,0.5,5.0,1.96,2.36,0.162,0.017,0.011,
IV,C_dphi,D,,dY,-0.5,0.5,6.0,2.36,2.75,0.407,0.012,0.026,
IV,C_dphi,C,,dY,-0.5,0.5,6.0,2.36,2.75,0.345,0.016,0.022,
