source_table, hadron, target, ref_target, Q2_min, Q2_max, nu_min, nu_max, z_min, z_max, pT2_min, pT2_max, value, stat , syst , flag
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.0 ,    0.1 , 0.875, 0.020, 0.046, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.0 ,    0.1 , 0.616, 0.012, 0.033, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.0 ,    0.1 , 0.486, 0.014, 0.027, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.1 ,    0.25, 0.841, 0.015, 0.044, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.1 ,    0.25, 0.614, 0.010, 0.032, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.1 ,    0.25, 0.456, 0.011, 0.027, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.25,    0.4 , 0.872, 0.027, 0.047, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.25,    0.4 , 0.653, 0.017, 0.033, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.25,    0.4 , 0.493, 0.019, 0.036, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.4 ,    0.55, 1.078, 0.072, 0.066, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.4 ,    0.55, 0.800, 0.041, 0.039, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.4 ,    0.55, 0.450, 0.043, 0.029, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.55,    0.75, 1.295, 0.248, 0.413, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.55,    0.75, 1.214, 0.168, 0.148, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.3,   0.4,    0.55,    0.75, 1.106, 0.179, 0.051, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.3,   0.4,    0.0 ,    0.1 , 0.917, 0.021, 0.047, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.3,   0.4,    0.0 ,    0.1 , 0.652, 0.013, 0.033, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.3,   0.4,    0.0 ,    0.1 , 0.464, 0.014, 0.025, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.3,   0.4,    0.1 ,    0.25, 0.879, 0.014, 0.045, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.3,   0.4,    0.1 ,    0.25, 0.659, 0.009, 0.032, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.3,   0.4,    0.1 ,    0.25, 0.485, 0.01 , 0.026, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.3,   0.4,    0.25,    0.4 , 0.85 , 0.018, 0.044, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.2 ,   3.73,   0.3,   0.4,    0.25,    0.4 , 0.657, 0.011, 0.032, 
