source_table, observable         , target, ref_target, dY_bin, dY_min, dY_max, dphi_bin, dphi_min, dphi_max, value   , stat    , syst    , syst_endcap_rel_pct, syst_misid_rel_pct, syst_pairacc_rel_pct, syst_evtsel_rel_pct, syst_binwidth_rel_pct, flag
S1          , C_dphi_dY          , D     ,           ,    0.0,    0.0,    0.5,      0.0,     0.0 ,     0.39, 0.000184, 6.8e-05 , 3.4e-05 ,                10.5,                   ,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , C     ,           ,    0.0,    0.0,    0.5,      0.0,     0.0 ,     0.39, 0.000946, 0.000334, 0.000152,                    ,                5.9,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , Fe    ,           ,    0.0,    0.0,    0.5,      0.0,     0.0 ,     0.39, 0.00246 , 0.00049 , 0.00044 ,                    ,                   ,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , Pb    ,           ,    0.0,    0.0,    0.5,      0.0,     0.0 ,     0.39, 0.00168 , 0.00069 , 0.00037 ,                    ,               16.3,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , D     ,           ,    0.0,    0.0,    0.5,      1.0,     0.39,     0.79, 0.000173, 6.5e-05 , 2.9e-05 ,                 6.2,                   ,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , C     ,           ,    0.0,    0.0,    0.5,      1.0,     0.39,     0.79, 0.00203 , 0.00046 , 0.00032 ,                    ,                5.9,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , Fe    ,           ,    0.0,    0.0,    0.5,      1.0,     0.39,     0.79, 0.00292 , 0.0005  , 0.00052 ,                    ,                   ,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , Pb    ,           ,    0.0,    0.0,    0.5,      1.0,     0.39,     0.79, 0.0032  , 0.00089 , 0.00071 ,                    ,               16.3,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , D     ,           ,    0.0,    0.0,    0.5,      2.0,     0.79,     1.18, 0.000155, 6.8e-05 , 2.6e-05 ,                 7.5,                   ,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , C     ,           ,    0.0,    0.0,    0.5,      2.0,     0.79,     1.18, 0.00284 , 0.00057 , 0.00046 ,                    ,                5.9,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , Fe    ,           ,    0.0,    0.0,    0.5,      2.0,     0.79,     1.18, 0.0037  , 0.00059 , 0.00066 ,                    ,                   ,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , Pb    ,           ,    0.0,    0.0,    0.5,      2.0,     0.79,     1.18, 0.00498 , 0.00116 , 0.0011  ,                    ,               16.3,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , D     ,           ,    0.0,    0.0,    0.5,      3.0,     1.18,     1.57, 0.000427, 0.000107, 7e-05   ,                 6.8,                   ,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , C     ,           ,    0.0,    0.0,    0.5,      3.0,     1.18,     1.57, 0.00431 , 0.00071 , 0.00069 ,                    ,                5.9,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , Fe    ,           ,    0.0,    0.0,    0.5,      3.0,     1.18,     1.57, 0.00657 , 0.0008  , 0.00118 ,                    ,                   ,                 14.9,                    ,                      , 
S1          , C_dphi_dY          , Pb    ,           ,    0.0,    0.0,    0.5,      3.0,     1.18,     1.57, 0.00624 , 0.00131 , 0.00138 ,                    ,               16.3,                 14.9,                    ,                      , 
